,currency,impact,name,date,time
366,AUD,High Impact Expected,Retail Sales m/m,2007-02-05,01:30:00
374,CAD,High Impact Expected,Ivey PMI,2007-02-05,16:00:00
375,USD,High Impact Expected,ISM Services PMI,2007-02-05,16:00:00
377,NZD,Non-Economic,Bank Holiday,2007-02-05,23:59:59
387,AUD,High Impact Expected,Cash Rate,2007-02-06,23:30:00
394,GBP,High Impact Expected,Manufacturing Production m/m,2007-02-07,10:30:00
403,NZD,High Impact Expected,Employment Change q/q,2007-02-07,22:45:00
404,NZD,High Impact Expected,Unemployment Rate,2007-02-07,22:45:00
408,AUD,High Impact Expected,Employment Change,2007-02-08,01:30:00
411,CHF,High Impact Expected,CPI m/m,2007-02-08,07:45:00
415,GBP,High Impact Expected,Halifax HPI m/m,2007-02-08,09:00:00
416,GBP,High Impact Expected,Official Bank Rate,2007-02-08,13:00:00
418,CAD,High Impact Expected,Housing Starts,2007-02-08,14:15:00
420,EUR,High Impact Expected,ECB Press Conference,2007-02-08,14:30:00
432,GBP,High Impact Expected,Goods Trade Balance,2007-02-09,10:30:00
433,CAD,High Impact Expected,Employment Change,2007-02-09,13:00:00
434,CAD,High Impact Expected,Unemployment Rate,2007-02-09,13:00:00
435,All,High Impact Expected,G7 Meetings,2007-02-10,23:59:59
436,JPY,Non-Economic,Bank Holiday,2007-02-12,23:59:59
437,AUD,High Impact Expected,RBA Monetary Policy Statement,2007-02-12,01:30:00
438,CNY,High Impact Expected,USD-Denominated Trade Balance,2007-02-12,04:10:00
439,GBP,High Impact Expected,PPI Input m/m,2007-02-12,10:30:00
444,NZD,High Impact Expected,PPI Input q/q,2007-02-12,22:45:00
450,EUR,High Impact Expected,German Prelim GDP q/q,2007-02-13,08:00:00
454,GBP,High Impact Expected,CPI y/y,2007-02-13,10:30:00
463,USD,High Impact Expected,Trade Balance,2007-02-13,14:30:00
473,GBP,High Impact Expected,Claimant Count Change,2007-02-14,10:30:00
477,GBP,High Impact Expected,BOE Gov King Speaks,2007-02-14,11:30:00
478,GBP,High Impact Expected,BOE Monetary Policy Report,2007-02-14,11:30:00
480,USD,High Impact Expected,Core Retail Sales m/m,2007-02-14,14:30:00
481,USD,High Impact Expected,Retail Sales m/m,2007-02-14,14:30:00
482,USD,High Impact Expected,Fed Chairman Bernanke Testifies,2007-02-14,16:00:00
487,NZD,High Impact Expected,Core Retail Sales m/m,2007-02-14,22:45:00
488,NZD,High Impact Expected,Retail Sales m/m,2007-02-14,22:45:00
492,JPY,High Impact Expected,Prelim GDP q/q,2007-02-15,00:50:00
497,GBP,High Impact Expected,Retail Sales m/m,2007-02-15,10:30:00
505,USD,High Impact Expected,TIC Long-Term Purchases,2007-02-15,15:00:00
508,USD,High Impact Expected,Fed Chairman Bernanke Testifies,2007-02-15,16:00:00
519,USD,High Impact Expected,PPI m/m,2007-02-16,14:30:00
523,USD,High Impact Expected,Prelim UoM Consumer Sentiment,2007-02-16,16:00:00
525,CNY,Non-Economic,Bank Holiday,2007-02-19,01:00:00
528,USD,Non-Economic,Bank Holiday,2007-02-19,23:59:59
531,CNY,Non-Economic,Bank Holiday,2007-02-20,23:59:59
537,CAD,High Impact Expected,Core CPI m/m,2007-02-20,13:00:00
543,CNY,Non-Economic,Bank Holiday,2007-02-21,23:59:59
546,JPY,High Impact Expected,Overnight Call Rate,2007-02-21,05:00:00
548,JPY,High Impact Expected,BOJ Press Conference,2007-02-21,07:30:00
552,GBP,High Impact Expected,MPC Official Bank Rate Votes,2007-02-21,10:30:00
554,CAD,High Impact Expected,Core Retail Sales m/m,2007-02-21,14:30:00
556,USD,High Impact Expected,CPI y/y,2007-02-21,14:30:00
557,USD,High Impact Expected,Core CPI m/m,2007-02-21,14:30:00
561,USD,High Impact Expected,FOMC Meeting Minutes,2007-02-21,20:00:00
563,CNY,Non-Economic,Bank Holiday,2007-02-22,23:59:59
580,CNY,Non-Economic,Bank Holiday,2007-02-23,23:59:59
582,EUR,High Impact Expected,German ifo Business Climate,2007-02-23,10:00:00
583,GBP,High Impact Expected,Second Estimate GDP q/q,2007-02-23,10:30:00
585,NZD,High Impact Expected,Trade Balance,2007-02-25,22:45:00
588,NZD,High Impact Expected,Inflation Expectations q/q,2007-02-26,03:00:00
602,USD,High Impact Expected,Core Durable Goods Orders m/m,2007-02-27,14:30:00
605,USD,High Impact Expected,CB Consumer Confidence,2007-02-27,16:00:00
