,currency,impact,name,date,time
3456,USD,High Impact Expected,Retail Sales m/m,2007-11-14,14:30:00
3459,USD,High Impact Expected,Fed Chairman Bernanke Speaks,2007-11-14,15:10:00
3461,NZD,High Impact Expected,Core Retail Sales m/m,2007-11-14,22:45:00
3462,NZD,High Impact Expected,Retail Sales m/m,2007-11-14,22:45:00
3469,CNY,High Impact Expected,Industrial Production y/y,2007-11-15,03:00:00
3471,GBP,High Impact Expected,Retail Sales m/m,2007-11-15,10:30:00
3478,USD,High Impact Expected,CPI y/y,2007-11-15,14:30:00
3479,USD,High Impact Expected,Core CPI m/m,2007-11-15,14:30:00
3489,CHF,High Impact Expected,Retail Sales y/y,2007-11-16,09:15:00
3493,USD,High Impact Expected,TIC Long-Term Purchases,2007-11-16,15:00:00
3513,CAD,High Impact Expected,Core CPI m/m,2007-11-20,13:00:00
3518,USD,High Impact Expected,FOMC Meeting Minutes,2007-11-20,20:00:00
3526,GBP,High Impact Expected,MPC Official Bank Rate Votes,2007-11-21,10:30:00
3527,CAD,High Impact Expected,Core Retail Sales m/m,2007-11-21,14:30:00
3540,USD,Non-Economic,Bank Holiday,2007-11-22,23:59:59
3544,JPY,Non-Economic,Bank Holiday,2007-11-23,23:59:59
3550,GBP,High Impact Expected,Second Estimate GDP q/q,2007-11-23,10:30:00
3553,NZD,High Impact Expected,Trade Balance,2007-11-25,22:45:00
3556,NZD,High Impact Expected,Inflation Expectations q/q,2007-11-27,03:00:00
3560,EUR,High Impact Expected,German ifo Business Climate,2007-11-27,10:00:00
3562,USD,High Impact Expected,CB Consumer Confidence,2007-11-27,16:00:00
3575,USD,High Impact Expected,Core Durable Goods Orders m/m,2007-11-28,14:30:00
3577,USD,High Impact Expected,Existing Home Sales,2007-11-28,16:00:00
3583,AUD,High Impact Expected,Private Capital Expenditure q/q,2007-11-29,01:30:00
3590,GBP,High Impact Expected,Monetary Policy Report Hearings,2007-11-29,10:45:00
3595,USD,High Impact Expected,Prelim GDP q/q,2007-11-29,14:30:00
3598,USD,High Impact Expected,New Home Sales,2007-11-29,16:00:00
3607,USD,High Impact Expected,Fed Chairman Bernanke Speaks,2007-11-30,01:00:00
3611,CHF,High Impact Expected,CPI m/m,2007-11-30,07:45:00
3619,CAD,High Impact Expected,GDP m/m,2007-11-30,14:30:00
3627,CNY,High Impact Expected,Manufacturing PMI,2007-12-01,02:00:00
3631,AUD,High Impact Expected,Trade Balance,2007-12-03,01:30:00
3645,USD,High Impact Expected,ISM Manufacturing PMI,2007-12-03,16:00:00
3652,AUD,High Impact Expected,Building Approvals m/m,2007-12-04,01:30:00
3653,AUD,High Impact Expected,Retail Sales m/m,2007-12-04,01:30:00
3659,CAD,High Impact Expected,BOC Rate Statement,2007-12-04,15:00:00
3660,CAD,High Impact Expected,Overnight Rate,2007-12-04,15:00:00
3662,AUD,High Impact Expected,Cash Rate,2007-12-04,23:30:00
3663,AUD,High Impact Expected,Monetary Policy Meeting Minutes,2007-12-04,23:30:00
3664,AUD,High Impact Expected,RBA Rate Statement,2007-12-04,23:30:00
3667,AUD,High Impact Expected,GDP q/q,2007-12-05,01:30:00
3669,GBP,High Impact Expected,Halifax HPI m/m,2007-12-05,09:00:00
3679,USD,High Impact Expected,ADP Non-Farm Employment Change,2007-12-05,14:15:00
3682,USD,High Impact Expected,ISM Services PMI,2007-12-05,16:00:00
3686,NZD,High Impact Expected,Official Cash Rate,2007-12-05,21:00:00
3687,NZD,High Impact Expected,RBNZ Press Conference,2007-12-05,21:00:00
3688,NZD,High Impact Expected,RBNZ Rate Statement,2007-12-05,21:00:00
3694,GBP,High Impact Expected,Manufacturing Production m/m,2007-12-06,10:30:00
3697,GBP,High Impact Expected,MPC Rate Statement,2007-12-06,13:00:00
3698,GBP,High Impact Expected,Official Bank Rate,2007-12-06,13:00:00
3699,USD,High Impact Expected,FOMC Member Kroszner Speaks,2007-12-06,13:30:00
3702,EUR,High Impact Expected,ECB Press Conference,2007-12-06,14:30:00
3704,CAD,High Impact Expected,Ivey PMI,2007-12-06,16:00:00
3715,CAD,High Impact Expected,Employment Change,2007-12-07,13:00:00
3716,CAD,High Impact Expected,Unemployment Rate,2007-12-07,13:00:00
3717,USD,High Impact Expected,Non-Farm Employment Change,2007-12-07,14:30:00
3718,USD,High Impact Expected,Unemployment Rate,2007-12-07,14:30:00
3720,USD,High Impact Expected,Prelim UoM Consumer Sentiment,2007-12-07,16:00:00
3737,GBP,High Impact Expected,PPI Input m/m,2007-12-10,10:30:00
3740,CAD,High Impact Expected,Housing Starts,2007-12-10,14:15:00
3741,USD,High Impact Expected,Pending Home Sales m/m,2007-12-10,16:00:00
3746,CNY,High Impact Expected,USD-Denominated Trade Balance,2007-12-11,03:50:00
3748,AUD,High Impact Expected,RBA Gov Stevens Speaks,2007-12-11,08:00:00
3757,USD,High Impact Expected,FOMC Statement,2007-12-11,20:15:00
3758,USD,High Impact Expected,Federal Funds Rate,2007-12-11,20:15:00
3764,GBP,High Impact Expected,Average Earnings Index 3m/y,2007-12-12,10:30:00
3771,CAD,High Impact Expected,Trade Balance,2007-12-12,14:30:00
3772,USD,High Impact Expected,Fed Announcement,2007-12-12,14:30:00
3773,USD,High Impact Expected,Trade Balance,2007-12-12,14:30:00
3777,NZD,High Impact Expected,Core Retail Sales m/m,2007-12-12,22:45:00
3778,NZD,High Impact Expected,Retail Sales m/m,2007-12-12,22:45:00
3782,AUD,High Impact Expected,Employment Change,2007-12-13,01:30:00
3784,CNY,High Impact Expected,Industrial Production y/y,2007-12-13,03:00:00
3789,CHF,High Impact Expected,Libor Rate,2007-12-13,09:30:00
3790,CHF,High Impact Expected,SNB Monetary Policy Assessment,2007-12-13,09:30:00
3791,CHF,High Impact Expected,SNB Press Conference,2007-12-13,09:30:00
3798,USD,High Impact Expected,Core Retail Sales m/m,2007-12-13,14:30:00
3799,USD,High Impact Expected,PPI m/m,2007-12-13,14:30:00
3800,USD,High Impact Expected,Retail Sales m/m,2007-12-13,14:30:00
3809,JPY,High Impact Expected,Tankan Manufacturing Index,2007-12-14,00:50:00
3817,USD,High Impact Expected,CPI y/y,2007-12-14,14:30:00
3818,USD,High Impact Expected,Core CPI m/m,2007-12-14,14:30:00
3834,USD,High Impact Expected,TIC Long-Term Purchases,2007-12-17,15:00:00
3836,AUD,High Impact Expected,Monetary Policy Meeting Minutes,2007-12-18,01:30:00
3839,CHF,High Impact Expected,Retail Sales y/y,2007-12-18,09:15:00
3840,GBP,High Impact Expected,CPI y/y,2007-12-18,10:30:00
3844,GBP,High Impact Expected,BOE Gov King Speaks,2007-12-18,11:35:00
3845,CAD,High Impact Expected,Core CPI m/m,2007-12-18,13:00:00
3848,USD,High Impact Expected,Building Permits,2007-12-18,14:30:00
3858,EUR,High Impact Expected,ECB President Trichet Speaks,2007-12-19,10:00:00
3859,EUR,High Impact Expected,German ifo Business Climate,2007-12-19,10:00:00
3860,GBP,High Impact Expected,MPC Official Bank Rate Votes,2007-12-19,10:30:00
3867,NZD,High Impact Expected,Current Account,2007-12-19,22:45:00
3875,JPY,High Impact Expected,BOJ Press Conference,2007-12-20,08:17:00
3878,GBP,High Impact Expected,Current Account,2007-12-20,10:30:00
3890,NZD,High Impact Expected,GDP q/q,2007-12-20,22:45:00
3897,GBP,High Impact Expected,Retail Sales m/m,2007-12-21,10:30:00
3901,CAD,High Impact Expected,Core Retail Sales m/m,2007-12-21,14:30:00
3902,CAD,High Impact Expected,GDP m/m,2007-12-21,14:30:00
3910,JPY,Non-Economic,Bank Holiday,2007-12-24,23:59:59
3912,NZD,Non-Economic,Bank Holiday,2007-12-24,23:59:59
3913,AUD,Non-Economic,Bank Holiday,2007-12-24,23:59:59
3916,CHF,Non-Economic,Bank Holiday,2007-12-25,23:59:59
3920,GBP,Non-Economic,Bank Holiday,2007-12-25,23:59:59
3921,CAD,Non-Economic,Bank Holiday,2007-12-25,23:59:59
3922,USD,Non-Economic,Bank Holiday,2007-12-25,23:59:59
3923,NZD,Non-Economic,Bank Holiday,2007-12-25,23:59:59
3924,AUD,Non-Economic,Bank Holiday,2007-12-25,23:59:59
3926,CHF,Non-Economic,Bank Holiday,2007-12-26,23:59:59
3929,GBP,Non-Economic,Bank Holiday,2007-12-26,23:59:59
3930,CAD,Non-Economic,Bank Holiday,2007-12-26,23:59:59
3936,USD,High Impact Expected,Core Durable Goods Orders m/m,2007-12-27,14:30:00
3939,USD,High Impact Expected,CB Consumer Confidence,2007-12-27,16:00:00
3957,USD,High Impact Expected,New Home Sales,2007-12-28,16:00:00
3959,JPY,Non-Economic,Bank Holiday,2007-12-31,23:59:59
3962,USD,High Impact Expected,Existing Home Sales,2007-12-31,16:00:00
3963,NZD,Non-Economic,Bank Holiday,2007-12-31,23:59:59
3964,AUD,Non-Economic,Bank Holiday,2007-12-31,23:59:59
3965,CNY,Non-Economic,Bank Holiday,2008-01-01,23:59:59
3966,JPY,Non-Economic,Bank Holiday,2008-01-01,23:59:59
3967,CNY,High Impact Expected,Manufacturing PMI,2008-01-01,02:00:00
3968,CHF,Non-Economic,Bank Holiday,2008-01-01,23:59:59
3972,GBP,Non-Economic,Bank Holiday,2008-01-01,23:59:59
3973,CAD,Non-Economic,Bank Holiday,2008-01-01,23:59:59
3974,USD,Non-Economic,Bank Holiday,2008-01-01,23:59:59
3975,NZD,Non-Economic,Bank Holiday,2008-01-01,23:59:59
3977,CNY,Non-Economic,Bank Holiday,2008-01-02,23:59:59
3978,JPY,Non-Economic,Bank Holiday,2008-01-02,23:59:59
3981,CHF,Non-Economic,Bank Holiday,2008-01-02,23:59:59
3987,USD,High Impact Expected,ISM Manufacturing PMI,2008-01-02,16:00:00
3990,USD,High Impact Expected,FOMC Meeting Minutes,2008-01-02,20:00:00
3991,JPY,Non-Economic,Bank Holiday,2008-01-03,23:59:59
4002,USD,High Impact Expected,ADP Non-Farm Employment Change,2008-01-03,14:15:00
4008,CHF,High Impact Expected,CPI m/m,2008-01-04,07:45:00
4019,USD,High Impact Expected,Non-Farm Employment Change,2008-01-04,14:30:00
4020,USD,High Impact Expected,Unemployment Rate,2008-01-04,14:30:00
4022,CAD,High Impact Expected,Ivey PMI,2008-01-04,16:00:00
4023,USD,High Impact Expected,ISM Services PMI,2008-01-04,16:00:00
4027,NZD,High Impact Expected,Trade Balance,2008-01-06,22:45:00
4039,AUD,High Impact Expected,Building Approvals m/m,2008-01-08,01:30:00
4040,GBP,High Impact Expected,Halifax HPI m/m,2008-01-08,09:00:00
4045,USD,High Impact Expected,Pending Home Sales m/m,2008-01-08,16:00:00
4050,AUD,High Impact Expected,Retail Sales m/m,2008-01-09,01:30:00
4059,CAD,High Impact Expected,Housing Starts,2008-01-09,14:15:00
4062,AUD,High Impact Expected,Trade Balance,2008-01-10,01:30:00
4067,GBP,High Impact Expected,Official Bank Rate,2008-01-10,13:00:00
4071,EUR,High Impact Expected,ECB Press Conference,2008-01-10,14:30:00
4076,USD,High Impact Expected,Fed Chairman Bernanke Speaks,2008-01-10,18:16:00
4081,CNY,High Impact Expected,USD-Denominated Trade Balance,2008-01-11,05:00:00
4084,GBP,High Impact Expected,Manufacturing Production m/m,2008-01-11,10:30:00
4086,CAD,High Impact Expected,Employment Change,2008-01-11,13:00:00
4087,CAD,High Impact Expected,Unemployment Rate,2008-01-11,13:00:00
4088,CAD,High Impact Expected,Trade Balance,2008-01-11,14:30:00
4089,USD,High Impact Expected,Trade Balance,2008-01-11,14:30:00
4097,JPY,Non-Economic,Bank Holiday,2008-01-14,23:59:59
4100,GBP,High Impact Expected,PPI Input m/m,2008-01-14,10:30:00
4105,CAD,High Impact Expected,BOC Business Outlook Survey,2008-01-14,16:30:00
4106,NZD,High Impact Expected,NZIER Business Confidence,2008-01-14,22:05:00
4108,GBP,High Impact Expected,CPI y/y,2008-01-15,10:30:00
4113,USD,High Impact Expected,Core Retail Sales m/m,2008-01-15,14:30:00
4114,USD,High Impact Expected,PPI m/m,2008-01-15,14:30:00
4115,USD,High Impact Expected,Retail Sales m/m,2008-01-15,14:30:00
4128,GBP,High Impact Expected,Average Earnings Index 3m/y,2008-01-16,10:30:00
4133,USD,High Impact Expected,CPI y/y,2008-01-16,14:30:00
4134,USD,High Impact Expected,Core CPI m/m,2008-01-16,14:30:00
4136,USD,High Impact Expected,TIC Long-Term Purchases,2008-01-16,15:00:00
4144,NZD,High Impact Expected,CPI q/q,2008-01-16,22:45:00
4146,AUD,High Impact Expected,Employment Change,2008-01-17,01:30:00
4155,USD,High Impact Expected,Building Permits,2008-01-17,14:30:00
4159,USD,High Impact Expected,Fed Chairman Bernanke Testifies,2008-01-17,16:00:00
4163,NZD,High Impact Expected,Core Retail Sales m/m,2008-01-17,22:45:00
4164,NZD,High Impact Expected,Retail Sales m/m,2008-01-17,22:45:00
4170,GBP,High Impact Expected,Retail Sales m/m,2008-01-18,10:30:00
4172,AUD,High Impact Expected,RBA Gov Stevens Speaks,2008-01-18,14:20:00
4174,USD,High Impact Expected,Prelim UoM Consumer Sentiment,2008-01-18,16:00:00
4179,AUD,High Impact Expected,PPI q/q,2008-01-21,01:30:00
4187,USD,Non-Economic,Bank Holiday,2008-01-21,23:59:59
4192,JPY,High Impact Expected,BOJ Press Conference,2008-01-22,08:16:00
4193,CHF,High Impact Expected,Retail Sales y/y,2008-01-22,09:15:00
4197,USD,High Impact Expected,FOMC Statement,2008-01-22,14:20:00
4198,USD,High Impact Expected,Federal Funds Rate,2008-01-22,14:20:00
4199,CAD,High Impact Expected,Core Retail Sales m/m,2008-01-22,14:30:00
4201,CAD,High Impact Expected,BOC Rate Statement,2008-01-22,15:00:00
4202,CAD,High Impact Expected,Overnight Rate,2008-01-22,15:00:00
4205,GBP,High Impact Expected,BOE Gov King Speaks,2008-01-22,21:10:00
4207,AUD,High Impact Expected,CPI q/q,2008-01-23,01:30:00
4214,GBP,High Impact Expected,MPC Official Bank Rate Votes,2008-01-23,10:30:00
4215,GBP,High Impact Expected,Prelim GDP q/q,2008-01-23,10:30:00
4220,NZD,High Impact Expected,Official Cash Rate,2008-01-23,21:00:00
4221,NZD,High Impact Expected,RBNZ Rate Statement,2008-01-23,21:00:00
4225,CNY,High Impact Expected,GDP q/y,2008-01-24,03:00:00
4233,EUR,High Impact Expected,German ifo Business Climate,2008-01-24,10:00:00
4236,USD,High Impact Expected,Unemployment Claims,2008-01-24,14:30:00
4238,USD,High Impact Expected,Existing Home Sales,2008-01-24,16:00:00
4239,CAD,High Impact Expected,BOC Monetary Policy Report,2008-01-24,16:30:00
4242,CAD,High Impact Expected,BOC Press Conference,2008-01-24,17:15:00
4244,EUR,High Impact Expected,ECB President Trichet Speaks,2008-01-24,17:35:00
4255,CAD,High Impact Expected,Core CPI m/m,2008-01-25,13:00:00
4259,AUD,Non-Economic,Bank Holiday,2008-01-27,23:59:59
4263,USD,High Impact Expected,New Home Sales,2008-01-28,16:00:00
4272,GBP,High Impact Expected,CBI Realized Sales,2008-01-29,12:00:00
4273,USD,High Impact Expected,Core Durable Goods Orders m/m,2008-01-29,14:30:00
4276,USD,High Impact Expected,CB Consumer Confidence,2008-01-29,16:00:00
4284,USD,High Impact Expected,ADP Non-Farm Employment Change,2008-01-30,14:15:00
4285,USD,High Impact Expected,Advance GDP q/q,2008-01-30,14:30:00
4288,USD,High Impact Expected,FOMC Statement,2008-01-30,20:15:00
4289,USD,High Impact Expected,Federal Funds Rate,2008-01-30,20:15:00
4291,NZD,High Impact Expected,Trade Balance,2008-01-30,22:45:00
4299,GBP,High Impact Expected,Nationwide HPI m/m,2008-01-31,08:00:00
4305,CAD,High Impact Expected,GDP m/m,2008-01-31,14:30:00
4315,CNY,High Impact Expected,Manufacturing PMI,2008-02-01,02:00:00
4326,USD,High Impact Expected,Non-Farm Employment Change,2008-02-01,14:30:00
4327,USD,High Impact Expected,Unemployment Rate,2008-02-01,14:30:00
4329,USD,High Impact Expected,ISM Manufacturing PMI,2008-02-01,16:00:00
4339,AUD,High Impact Expected,Trade Balance,2008-02-04,01:30:00
4349,NZD,High Impact Expected,Labor Cost Index q/q,2008-02-04,22:45:00
4351,AUD,High Impact Expected,Building Approvals m/m,2008-02-05,01:30:00
4352,AUD,High Impact Expected,Retail Sales m/m,2008-02-05,01:30:00
4355,AUD,High Impact Expected,Cash Rate,2008-02-05,04:30:00
4356,AUD,High Impact Expected,RBA Rate Statement,2008-02-05,04:30:00
4358,GBP,High Impact Expected,Halifax HPI m/m,2008-02-05,09:00:00
4366,USD,High Impact Expected,ISM Services PMI,2008-02-05,16:00:00
4368,NZD,Non-Economic,Bank Holiday,2008-02-05,23:59:59
4369,CNY,Non-Economic,Bank Holiday,2008-02-06,23:59:59
4377,CAD,High Impact Expected,Ivey PMI,2008-02-06,16:00:00
4383,NZD,High Impact Expected,Employment Change q/q,2008-02-06,22:45:00
4384,NZD,High Impact Expected,Unemployment Rate,2008-02-06,22:45:00
4386,CNY,Non-Economic,Bank Holiday,2008-02-07,23:59:59
4390,GBP,High Impact Expected,Manufacturing Production m/m,2008-02-07,10:30:00
4394,GBP,High Impact Expected,MPC Rate Statement,2008-02-07,13:00:00
4395,GBP,High Impact Expected,Official Bank Rate,2008-02-07,13:00:00
4397,EUR,High Impact Expected,ECB Press Conference,2008-02-07,14:30:00
4398,USD,High Impact Expected,Unemployment Claims,2008-02-07,14:30:00
4399,USD,High Impact Expected,Pending Home Sales m/m,2008-02-07,16:00:00
4406,CNY,Non-Economic,Bank Holiday,2008-02-08,23:59:59
4410,CHF,High Impact Expected,CPI m/m,2008-02-08,07:45:00
4414,CAD,High Impact Expected,Employment Change,2008-02-08,13:00:00
4415,CAD,High Impact Expected,Unemployment Rate,2008-02-08,13:00:00
4416,CAD,High Impact Expected,Housing Starts,2008-02-08,14:15:00
4419,All,High Impact Expected,G7 Meetings,2008-02-09,23:59:59
4420,CNY,Non-Economic,Bank Holiday,2008-02-11,23:59:59
4421,JPY,Non-Economic,Bank Holiday,2008-02-11,23:59:59
4422,AUD,High Impact Expected,Home Loans m/m,2008-02-11,01:30:00
4423,AUD,High Impact Expected,RBA Monetary Policy Statement,2008-02-11,01:30:00
4428,GBP,High Impact Expected,PPI Input m/m,2008-02-11,10:30:00
4433,CNY,Non-Economic,Bank Holiday,2008-02-12,23:59:59
4437,GBP,High Impact Expected,CPI y/y,2008-02-12,10:30:00
4446,NZD,High Impact Expected,PPI Input q/q,2008-02-12,22:45:00
4455,GBP,High Impact Expected,Claimant Count Change,2008-02-13,10:30:00
4460,GBP,High Impact Expected,BOE Gov King Speaks,2008-02-13,11:30:00
4461,GBP,High Impact Expected,BOE Monetary Policy Report,2008-02-13,11:30:00
4462,USD,High Impact Expected,Core Retail Sales m/m,2008-02-13,14:30:00
4463,USD,High Impact Expected,Retail Sales m/m,2008-02-13,14:30:00
4468,JPY,High Impact Expected,Prelim GDP q/q,2008-02-14,00:50:00
4472,AUD,High Impact Expected,Employment Change,2008-02-14,01:30:00
4477,EUR,High Impact Expected,German Prelim GDP q/q,2008-02-14,08:00:00
4484,CAD,High Impact Expected,Trade Balance,2008-02-14,14:30:00
4485,USD,High Impact Expected,Trade Balance,2008-02-14,14:30:00
4487,USD,High Impact Expected,Fed Chairman Bernanke Testifies,2008-02-14,16:00:00
4491,NZD,High Impact Expected,Core Retail Sales m/m,2008-02-14,22:45:00
4492,NZD,High Impact Expected,Retail Sales m/m,2008-02-14,22:45:00
4497,JPY,High Impact Expected,BOJ Press Conference,2008-02-15,08:24:00
4499,CNY,High Impact Expected,USD-Denominated Trade Balance,2008-02-15,09:00:00
4505,USD,High Impact Expected,TIC Long-Term Purchases,2008-02-15,15:00:00
4509,USD,High Impact Expected,Prelim UoM Consumer Sentiment,2008-02-15,15:55:00
4519,USD,Non-Economic,Bank Holiday,2008-02-18,23:59:59
4520,CAD,High Impact Expected,BOC Gov Carney Speaks,2008-02-18,20:30:00
4522,AUD,High Impact Expected,Monetary Policy Meeting Minutes,2008-02-19,01:30:00
4525,CAD,High Impact Expected,Core CPI m/m,2008-02-19,13:00:00
4535,GBP,High Impact Expected,MPC Official Bank Rate Votes,2008-02-20,10:30:00
4541,USD,High Impact Expected,Building Permits,2008-02-20,14:30:00
4542,USD,High Impact Expected,CPI y/y,2008-02-20,14:30:00
4543,USD,High Impact Expected,Core CPI m/m,2008-02-20,14:30:00
4546,USD,High Impact Expected,FOMC Meeting Minutes,2008-02-20,20:00:00
4555,GBP,High Impact Expected,Retail Sales m/m,2008-02-21,10:30:00
4568,CAD,High Impact Expected,Core Retail Sales m/m,2008-02-22,14:30:00
4575,USD,High Impact Expected,Existing Home Sales,2008-02-25,16:00:00
4580,NZD,High Impact Expected,Inflation Expectations q/q,2008-02-26,03:00:00
4583,EUR,High Impact Expected,German ifo Business Climate,2008-02-26,10:00:00
4585,GBP,High Impact Expected,CBI Realized Sales,2008-02-26,12:00:00
4586,USD,High Impact Expected,PPI m/m,2008-02-26,14:30:00
4589,USD,High Impact Expected,CB Consumer Confidence,2008-02-26,16:00:00
4601,GBP,High Impact Expected,Second Estimate GDP q/q,2008-02-27,10:30:00
4603,USD,High Impact Expected,Core Durable Goods Orders m/m,2008-02-27,14:30:00
4605,USD,High Impact Expected,Fed Chairman Bernanke Testifies,2008-02-27,16:00:00
4606,USD,High Impact Expected,New Home Sales,2008-02-27,16:00:00
4615,AUD,High Impact Expected,Private Capital Expenditure q/q,2008-02-28,01:30:00
4620,USD,High Impact Expected,Prelim GDP q/q,2008-02-28,14:30:00
4624,USD,High Impact Expected,Fed Chairman Bernanke Testifies,2008-02-28,16:00:00
4627,NZD,High Impact Expected,Trade Balance,2008-02-28,22:45:00
4637,GBP,High Impact Expected,Nationwide HPI m/m,2008-02-29,08:00:00
4657,CNY,High Impact Expected,Manufacturing PMI,2008-03-01,02:00:00
4670,GBP,High Impact Expected,Final Manufacturing PMI,2008-03-03,10:30:00
4674,CAD,High Impact Expected,GDP m/m,2008-03-03,14:30:00
4675,USD,High Impact Expected,ISM Manufacturing PMI,2008-03-03,16:00:00
4681,AUD,High Impact Expected,Retail Sales m/m,2008-03-04,01:30:00
4684,AUD,High Impact Expected,Cash Rate,2008-03-04,04:30:00
4685,AUD,High Impact Expected,RBA Rate Statement,2008-03-04,04:30:00
4687,CHF,High Impact Expected,CPI m/m,2008-03-04,07:45:00
4694,CAD,High Impact Expected,BOC Rate Statement,2008-03-04,15:00:00
4695,CAD,High Impact Expected,Overnight Rate,2008-03-04,15:00:00
4696,USD,High Impact Expected,Fed Chairman Bernanke Speaks,2008-03-04,15:00:00
4697,USD,High Impact Expected,FOMC Member Kohn Speaks,2008-03-04,16:00:00
4704,AUD,High Impact Expected,GDP q/q,2008-03-05,01:30:00
4710,GBP,High Impact Expected,Final Services PMI,2008-03-05,10:30:00
4713,USD,High Impact Expected,ADP Non-Farm Employment Change,2008-03-05,14:15:00
4716,USD,High Impact Expected,ISM Services PMI,2008-03-05,16:00:00
4720,NZD,High Impact Expected,Official Cash Rate,2008-03-05,21:00:00
4721,NZD,High Impact Expected,RBNZ Press Conference,2008-03-05,21:00:00
4722,NZD,High Impact Expected,RBNZ Rate Statement,2008-03-05,21:00:00
4724,AUD,High Impact Expected,Building Approvals m/m,2008-03-06,01:30:00
4725,AUD,High Impact Expected,Trade Balance,2008-03-06,01:30:00
4732,GBP,High Impact Expected,Halifax HPI m/m,2008-03-06,09:00:00
4735,GBP,High Impact Expected,Official Bank Rate,2008-03-06,13:00:00
4736,EUR,High Impact Expected,Main Refinancing Rate,2008-03-06,13:45:00
4738,EUR,High Impact Expected,ECB Press Conference,2008-03-06,14:30:00
4740,CAD,High Impact Expected,Ivey PMI,2008-03-06,16:00:00
4741,USD,High Impact Expected,Pending Home Sales m/m,2008-03-06,16:00:00
4749,JPY,High Impact Expected,BOJ Press Conference,2008-03-07,08:16:00
4754,CAD,High Impact Expected,Employment Change,2008-03-07,13:00:00
4755,CAD,High Impact Expected,Unemployment Rate,2008-03-07,13:00:00
4756,USD,High Impact Expected,Fed Announcement,2008-03-07,14:30:00
4757,USD,High Impact Expected,Non-Farm Employment Change,2008-03-07,14:30:00
4758,USD,High Impact Expected,Unemployment Rate,2008-03-07,14:30:00
4771,CNY,High Impact Expected,USD-Denominated Trade Balance,2008-03-10,06:00:00
4778,GBP,High Impact Expected,Manufacturing Production m/m,2008-03-10,10:30:00
4779,GBP,High Impact Expected,PPI Input m/m,2008-03-10,10:30:00
4783,CAD,High Impact Expected,Housing Starts,2008-03-10,13:15:00
4790,AUD,High Impact Expected,Home Loans m/m,2008-03-11,01:30:00
4796,EUR,High Impact Expected,German ZEW Economic Sentiment,2008-03-11,11:00:00
4798,CAD,High Impact Expected,Trade Balance,2008-03-11,13:30:00
4800,USD,High Impact Expected,Trade Balance,2008-03-11,13:30:00
4802,USD,High Impact Expected,Fed Announcement,2008-03-11,14:30:00
4824,EUR,High Impact Expected,ECB President Trichet Speaks,2008-03-12,16:30:00
4827,NZD,High Impact Expected,Core Retail Sales m/m,2008-03-12,22:45:00
4828,NZD,High Impact Expected,Retail Sales m/m,2008-03-12,22:45:00
4830,AUD,High Impact Expected,Employment Change,2008-03-13,01:30:00
4832,CNY,High Impact Expected,Industrial Production y/y,2008-03-13,03:00:00
4839,USD,High Impact Expected,Core Retail Sales m/m,2008-03-13,13:30:00
4840,USD,High Impact Expected,Retail Sales m/m,2008-03-13,13:30:00
4843,CHF,High Impact Expected,Libor Rate,2008-03-13,14:00:00
4844,CHF,High Impact Expected,SNB Monetary Policy Assessment,2008-03-13,14:00:00
4853,AUD,High Impact Expected,RBA Gov Stevens Speaks,2008-03-14,06:00:00
4859,USD,High Impact Expected,CPI y/y,2008-03-14,13:30:00
4860,USD,High Impact Expected,Core CPI m/m,2008-03-14,13:30:00
4862,USD,High Impact Expected,Prelim UoM Consumer Sentiment,2008-03-14,14:55:00
4864,USD,High Impact Expected,Fed Chairman Bernanke Speaks,2008-03-14,18:00:00
4874,USD,High Impact Expected,TIC Long-Term Purchases,2008-03-17,14:00:00
4878,USD,High Impact Expected,Fed Announcement,2008-03-17,18:00:00
4880,AUD,High Impact Expected,Monetary Policy Meeting Minutes,2008-03-18,01:30:00
4883,GBP,High Impact Expected,CPI y/y,2008-03-18,10:30:00
4886,CAD,High Impact Expected,Core CPI m/m,2008-03-18,12:00:00
4888,USD,High Impact Expected,Building Permits,2008-03-18,13:30:00
4889,USD,High Impact Expected,PPI m/m,2008-03-18,13:30:00
4892,USD,High Impact Expected,FOMC Statement,2008-03-18,19:15:00
4893,USD,High Impact Expected,Federal Funds Rate,2008-03-18,19:15:00
4897,GBP,High Impact Expected,Claimant Count Change,2008-03-19,10:30:00
4898,GBP,High Impact Expected,MPC Official Bank Rate Votes,2008-03-19,10:30:00
4906,JPY,Non-Economic,Bank Holiday,2008-03-20,23:59:59
4919,GBP,High Impact Expected,Retail Sales m/m,2008-03-20,10:30:00
4928,NZD,Non-Economic,Bank Holiday,2008-03-20,23:59:59
4929,AUD,Non-Economic,Bank Holiday,2008-03-20,23:59:59
4930,CHF,Non-Economic,Bank Holiday,2008-03-21,23:59:59
4933,GBP,Non-Economic,Bank Holiday,2008-03-21,23:59:59
4935,CAD,Non-Economic,Bank Holiday,2008-03-21,23:59:59
4936,NZD,Non-Economic,Bank Holiday,2008-03-23,23:59:59
4937,AUD,Non-Economic,Bank Holiday,2008-03-23,23:59:59
4940,CHF,Non-Economic,Bank Holiday,2008-03-24,23:59:59
4944,GBP,Non-Economic,Bank Holiday,2008-03-24,23:59:59
4945,USD,High Impact Expected,Existing Home Sales,2008-03-24,15:00:00
4950,CAD,High Impact Expected,Core Retail Sales m/m,2008-03-25,13:30:00
4953,USD,High Impact Expected,CB Consumer Confidence,2008-03-25,15:00:00
